manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
מיצובישי,2011,אאוטלנדר,2,אוטומטית,2000,בנזין,,,חדרה וישובי עמק חפר,חדרה,37800.0,1,2022-05-31,2022-05-31,"מיצובישי אאוטלנדר, בצבע לבן, יד שניה, 224000 קילומטרים. הרכב שמור. בלי תעונות. טסט עד 01.2023. מערכת מולטימדיה חדשנית עם אופציה ל-waze.",nan,224000,,18
מיצובישי,2016,אאוטלנדר,2,אוטומטית,2000,בנזין,,,באר שבע והסביבה,באר שבע,106000.0,1,2022-05-29,2022-05-29,"מציאה**כמו חדש חדש**למכירה אאוטלנדר 2016 דגם אינטנס 5 מקומות צבע גרניט..רכב שמור ,חסכוני ושקט..קילומטראג' רק 38 אלף!! עבר 2 ידיים פרטיות..כולל תוספות של מערכת א...",nan,39000,,44
nan,2008,nan,3,אוטומטית,1600,בנזין,,,בקעת אונו,גני תקווה,,1,2022-05-27,2022-05-27,רכב במצב מכני מצויין ושמור . מבחינת קוסמטיקה של הרכב ובפחחות הרכב לקוי צבע דאוי וכמה מכות פח . 125 אלף קמ,nan,125000,,0
מיצובישי,2017,אאוטלנדר,1,אוטומטית,2000,בנזין,,,פתח תקוה והסביבה,פתח תקווה,130000.0,1,2022-05-24,2022-05-24,דגם פרימיום המפואר 7 מושבים מעור מערכת מולטימדיה מצלמה אחורית וקדמית נהגת יחידה --18000 קילומטר בלבד--- בלי מכות בלי תאונות בלי שריטות אוטו במצב חדש &lt;br/&gt;...,nan,18000,,26
מיצובישי,2018,ספייס סטאר,1,אוטומטית,1200,בנזין,פרטית,פרטית,מושבים בשרון,אבן יהודה,59000.0,1,2022-04-06,2022-05-21,שמורה מאוד מטופלת ללא תאונות,לבן פנינה,19000,,5
מיצובישי,2017,אאוטלנדר,1,אוטומטית,2000,בנזין,,,nan,ראשון,125000.0,1,2022-05-18,2022-05-18,ללא תאונות צמיגים ומצבר חדשים מקוריים הוחלפו לא מזמן,nan,30000,,26
מיצובישי,2015,אאוטלנדר,2,אוטומטית,2200,דיזל,,,חולון - בת ים,אזור,85000.0,1,2022-05-10,2022-05-10,"אאוטלנד הדגם המפואר ביותר כולל כל התוספות! מושבי עור, בקרת שיוט, בלימה אוטונמית, מושב חשמלי , חימום מושבים ועןד ועוד",nan,,,36
מיצובישי,2019,אקליפס,1,אוטומטית,1499,בנזין,,,רמת גן - גבעתיים,רמת גן,124000.0,1,2022-05-09,2022-05-09,"רכב שני. ק""מ נמוך מטופל אצל היבואן. יימכר לאחר טיפול גדול. שווה! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דגם INTENSE",nan,32900,,14
מיצובישי,2021,אקליפס,2,אוטומטית,1499,בנזין,,,nan,Ashdod,145000.0,1,2022-05-01,2022-05-01,"מיצובישי אקליפס דגם INSTY הרכב מטופל במוסך מורשה מיצובישי אשדוד לרכב יש טסט עד 01/23 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מראות חשמליות, גאנטים, גג נפתח, מ...",nan,21563,,11
nan,2022,nan,1,אוטומטית,1226,בנזין,,,חולון - בת ים,בת ים,,1,2022-04-27,2022-04-27,רכב חדש מה ניילונים,nan,1500,,0
מיצובישי,2015,ספייס סטאר,1,אוטומטית,1200,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,36900.0,1,2022-04-18,2022-04-18,"לבוא לקחת. התחייבות לקנייה חוזרת עד 5 שנים. שקיפות מלאה!!! מגוון אפשרויות מימון עד 100% כולל תשלום בצקים. נמצא בסוכנות ""גרינקאר"" בראשל""צ, רח' הרצל 28. הנחות ומח...",nan,,,5
מיצובישי,2010,לנסר,4,אוטומטית,1500,בנזין,פרטית,פרטית,באר שבע והסביבה,אופקים,17000.0,7,2021-11-17,2021-11-17,מיצבושי לנסר החדשה,אפור,200000,,9
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,1600,בנזין,פרטית,פרטית,טבריה והסביבה,טבריה,6000.0,10,2021-10-15,2021-10-15,מיצובישי לאנסר 2008 אוטמט 98 כ״ס יד 03 230 אלף ק״מ במצב מכאני מעולה במערכת מותקנת דיברוית ובלוטוס לשירים בס ורמקולים של פיוניר חלונות מושחרים אחוריים רכ...,אפור עכבר,230000,,0
מיצובישי,2008,סופר לנסר,2,אוטומטית,1800,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,16500.0,4,2021-10-04,2021-10-04,"רכב רחב ומפנק, קילומטרז' נמוך לגילו, ללא תאונות, מטופל בזמן.",בז',176000,,0
מיצובישי,2005,לנסר קלאסיק,3,אוטומטית,1800,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,4500.0,,2023-09-29,2023-09-29,רכב תקין ללא שום בעיות. מזגן מקפיא! הושקע מולטימדיה יותר מ1000 שח טסט לעוד חצי שנה . מוכר בכ''כ זול משום שאני כבר לא משתמש עם הרכב,כסוף,323000,,0
מיצובישי,2014,אטראז',4,אוטומטית,1200,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,26000.0,,2022-10-29,2022-10-29,רכב שמור מטופל בזמן ניראה כמו חדש מפתח חכם גמיש במחיר,nan,160000,,4
מיצובישי,2008,לנסר,5,אוטומטית,1584,בנזין,,,רמת גן - גבעתיים,בני ברק,13000.0,,2022-10-25,2022-10-25,nan,nan,152600,,10
מיצובישי,2009,I-MIEV,3,אוטומטית,3200,דיזל,פרטית,פרטית,חולון - בת ים,בת ים,95000.0,2,2022-05-15,2022-05-15,הכול מקורי פנים וחוץ האותו 4X4 נפח 3200,לבן,100000,,0
מיצובישי,2012,לנסר הדור החדש,3,אוטומטית,1600,בנזין,,,ירושלים והסביבה,ירושלים,25500.0,,2022-10-15,2022-10-15,רכב שמור ומטופל טסט לשנה,nan,130000,,0
מיצובישי,2010,לנסר הדור החדש,3,אוטומטית,1500,בנזין,,,באר שבע והסביבה,נתיבות,14500.0,,2022-10-14,2022-10-14,nan,nan,295000,,0
מיצובישי,2016,אאוטלנדר,3,אוטומטית,2000,בנזין,,,אשדוד - אשקלון,אשדוד,106500.0,,2022-09-27,2022-09-27,"מיצובישי אאוטלנדר 08/2016 יד 02 ליסינג תפעולי נהג יחיד לשעבר מנוע 1.99 בנזין 150 כס גימור אינסטייל: חלון בגג, מפתח חכם ועוד צבע כסף 7 מקומות תוספות: ...",nan,128585,,44
מיצובישי,2021,ספייס סטאר,1,אוטומטית,1200,בנזין,,,נתניה והסביבה,נתניה,76000.0,,2022-09-27,2022-09-27,"רכב חדש של אדם מבוגר (אבא שלי) רק 6000 ק""מ, ללא שריטה , חונה תמיד בחניון מקורה מתחת לבניין נמכר עקב חוסר שימוש",nan,6000,,7
מיצובישי,2007,לנסר,2,אוטומטית,1600,בנזין,,,רעננה - כפר סבא,כפר סבא,3500.0,,2022-09-17,2022-09-17,nan,nan,318000,,13
מיצובישי,2015,אאוטלנדר,2,אוטומטית,2000,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,70000.0,,2022-09-02,2022-09-02,nan,nan,185000,,36
מיצובישי,2016,אאוטלנדר,2,אוטומטית,2000,בנזין,,,נתניה והסביבה,נתניה,990000.0,,2022-09-01,2022-09-01,מיצובישי אאוטלנדר 7 מקומות מצב חדש אוטו שמור שמור,nan,122000,,44
מיצובישי,2007,לנסר קלאסיק,1,אוטומטית,1600,בנזין,,,nan,תל אבי,10000.0,,2022-08-27,2022-08-27,nan,nan,86000,,0
מיצובישי,2022,אאוטלנדר,1,אוטומטית,2500,בנזין,,,עמק יזרעאל,קרית טבעון,240000.0,,2022-07-30,2022-07-30,אאוטלנדר החדש דגם פרימיום 2022 יד ראשונה רכב חדש חדש עשה רק 6000 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; ריפודי עור סנטטי רכב מבוקש מאוד ושמור כל הקודם זוכה...,nan,6000,,17
מיצובישי,2021,אאוטלנדר,1,אוטומטית,2500,בנזין,,,קריות,קרית ביאליק,210000.0,,2022-07-23,2022-07-23,nan,nan,15000,,22
מיצובישי,2019,אקליפס,1,אוטומטית,1600,בנזין,,,תל אביב,תל אביב יפו,150000.0,,2022-07-18,2022-07-18,גג נפתח גם מאחורה,nan,10000,,14
מיצובישי,2018,ASX,1,אוטומטית,2000,בנזין,,,"ראשל""צ והסביבה",בית דגן,90000.0,,2022-07-15,2022-07-15,רכב שמור מטופל במוסכי מיטצובישי בלבד. לא עבור תאונות.יד פרטית.,nan,102000,,5
מיצובישי,2019,ASX,1,אוטומטית,2000,בנזין,,,nan,יקנעם עילית,107000.0,,2022-07-14,2022-07-14,"שמורה מאד,מטופלת אך ורק במוסך מורשה ללא תאונות",nan,69000,,6
מיצובישי,2007,לנסר,3,אוטומטית,1600,בנזין,,,ירושלים והסביבה,ירושלים,6000.0,,2022-06-27,2022-06-27,"רכב מצוין,חסכוני,טסט בעוד חודש,מזגן מעולה,ישנם קילופי צבע, יד ראשונה היתה השכרה לא בשבת! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קודנית,בלוטוס,חיישני רוורס,גל...",nan,162000,,13
מיצובישי,2017,אאוטלנדר,1,אוטומטית,1998,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,106000.0,,2022-05-22,2022-05-22,"מצב מצויין, שמור, כל הטיפולים בסוכנות מיצובישי/יונדאי מודיעין מתועדים. צמיגים חדשים, מצבר שנה וחצי. חלונות חשמלים, נעילה /פתיחה מרכזית מהשלט, מראות חשמליים.",nan,122000,,26
מיצובישי,2020,אקליפס,1,אוטומטית,1500,בנזין,,,מודיעין והסביבה,מודיעין,129000.0,,2022-05-11,2022-05-11,רכב שמור נמצא בחניה מקורה נהג יחיד(70),nan,16000,,15
מיצובישי,2010,לנסר הדור החדש,3,אוטומטית,1500,בנזין,,,קריות,רכסים,11500.0,,2022-05-05,2022-05-05,חלונות שחורים מסך באגז גדול מושבים יפים,nan,220000,,0
מיצובישי,2017,אאוטלנדר,2,אוטומטית,2000,בנזין,,,באר שבע והסביבה,באר שבע,115000.0,,2022-04-26,2022-04-26,הרכב במצב מצויין טסט שלמה שלמה צלחות ברקסים וצמיגים חדשים טיפולצרק במוסך מורשה מלא תוספות זה דגם אינסטייל עם חלון בגג והנעה ללא מתפתח מראות מתקפלות ו...,nan,85000,,26
מיצובישי,2015,ספייס סטאר,2,אוטומטית,1200,בנזין,פרטית,פרטית,בית שמש והסביבה,בית שמש,36000.0,,2022-01-13,2022-01-13,נהגת יחידה. אוטו שני בבית.הרכב במצב חדשש. 4צמיגים חדשים .מצבר חדש .לאחר טיפול 100 אלף .חונה בחניה מקורה חסכוני מאוד שמור ומטופל ברמות כול הקודם זוכה,כסוף מטאלי,100,,5
